#    X_IMAGE      Y_IMAGE    X_WORLD    Y_WORLD    FLUX_STACK        FLUX_0        FLUX_1        FLUX_2        FLUX_3        FLUX_4        MEDIAN         SNR
  889.406372  1160.426025  50.016907  41.388705  1.336197e+04  1.232967e+04  1.187196e+04  1.332535e+04  8.170011e+03  1.218108e+04  1.202652e+04    6.216280
  621.240173  2113.533691  50.021679  41.428650  3.038248e+05  2.932734e+05  3.070461e+05  2.966788e+05  3.023450e+05  3.071664e+05  3.046956e+05   70.967883
 2011.211670  1132.130737  50.072973  41.371393  1.078457e+06  1.066142e+06  1.078421e+06  1.084312e+06  1.072897e+06  1.065354e+06  1.075659e+06  153.808065
 1556.539551   717.500427  50.042064  41.362292  3.998055e+06  3.946671e+06  3.979422e+06  3.950940e+06  3.902709e+06  3.913968e+06  3.932454e+06  129.297595
 1821.643799  1014.062683  50.061139  41.369673  2.640505e+06  2.614256e+06  2.648650e+06  2.639336e+06  2.603718e+06  2.585475e+06  2.621527e+06  101.853992
  534.703674  1066.250977  49.997194  41.390271  1.349083e+05  1.362094e+05  1.374941e+05  1.339350e+05  1.345098e+05  1.347770e+05  1.346434e+05   98.221383
  949.114014  1055.337158  50.017903  41.383865  5.869896e+04  5.645921e+04  6.053003e+04  5.901762e+04  5.713524e+04  5.795609e+04  5.848685e+04   46.075257
 2602.316162  1019.495117  50.100622  41.358564  8.620061e+04  8.286247e+04  9.590762e+04  9.177513e+04  8.653748e+04  8.251528e+04  8.915631e+04   17.535914
 1344.694824   980.110596  50.036421  41.375294  1.658906e+05  1.643465e+05  1.611403e+05  1.644743e+05  1.672229e+05  1.610373e+05  1.628073e+05   63.326976
  615.835999   965.227478  49.999351  41.385275  1.603944e+05  1.482370e+05  1.541840e+05  1.510619e+05  1.484486e+05  1.378691e+05  1.497552e+05   24.421945
 1290.612427   959.662170  50.033299  41.375303  1.380712e+05  1.330027e+05  1.350434e+05  1.371794e+05  1.340352e+05  1.297065e+05  1.345393e+05   49.431178
 2667.470703   937.115112  50.102323  41.354503  3.101282e+05  3.063108e+05  3.081012e+05  2.975416e+05  3.031486e+05  3.070684e+05  3.051085e+05   73.639878
 1143.612915   913.606689  50.024997  41.375688  1.431789e+05  1.527679e+05  1.388050e+05  1.435716e+05  1.409588e+05  1.400991e+05  1.405289e+05   80.583557
 2482.678223   887.396729  50.092047  41.355302  2.008313e+05  1.954114e+05  2.090745e+05  1.970400e+05  1.950244e+05  1.931818e+05  1.960322e+05   31.563826
  629.634277   894.879944  49.998697  41.382413  3.760444e+05  3.695653e+05  3.737671e+05  3.714885e+05  3.709120e+05  3.707158e+05  3.712002e+05  305.502299
  609.341980   860.265808  49.997008  41.381396  2.537698e+05  2.532525e+05  2.536911e+05  2.532902e+05  2.517105e+05  2.487811e+05  2.525004e+05  130.824922
 2290.835938   799.042297  50.080672  41.354740  2.465318e+07  2.458215e+07  2.473469e+07  2.469168e+07  2.449301e+07  2.441420e+07  2.459235e+07  184.053179
  773.391357   841.547729  50.004929  41.378316  6.224782e+04  5.956381e+04  5.726191e+04  5.978404e+04  6.196250e+04  5.999521e+04  5.988962e+04   35.875859
  692.889343   828.274780  50.000611  41.378978  7.132425e+04  7.071216e+04  7.124799e+04  7.186900e+04  7.202423e+04  7.113038e+04  7.155850e+04  185.903183
 1410.345459   762.130737  50.035546  41.366096  3.733809e+07  3.792264e+07  3.867666e+07  3.804673e+07  3.739446e+07  3.614736e+07  3.772060e+07   40.286917
  761.655273   784.661865  50.003245  41.376333  2.928422e+04  2.682451e+04  3.102044e+04  2.921788e+04  2.680435e+04  2.904792e+04  2.913290e+04   19.475260
 1954.341309  1127.206665  50.070009  41.372031  2.337956e+04  2.339553e+04  1.945315e+04  2.115862e+04  1.990956e+04  2.157360e+04  2.053409e+04   23.598264
 2165.288818  1091.755249  50.079969  41.367633  9.915569e+03  3.813444e+03  6.362289e+03  9.685607e+03  9.832933e+03  6.292177e+03  8.023948e+03    4.673270
